date,prod_00,prod_01,prod_03,prod_08,prod_09,prod_11,prod_15,prod_05,prod_06,prod_07,prod_10,prod_04,prod_02,balance
2031-12,545,566,636,4322,5335,4552,154969,572,523,371,4545,506,461,177903
2032-01,1150,1319,1435,18990,23049,26182,498867,1519,1398,1734,25938,1227,1232,604040
2032-02,844,766,737,11145,10938,12043,299361,851,647,763,12071,816,826,351808
2032-03,1128,889,949,16184,22527,15836,355994,1053,940,975,15185,1080,1102,433842
2032-04,882,886,989,17255,14813,15910,280610,938,862,1163,20396,1106,865,356675
2032-05,888,865,660,15753,19413,13758,249796,744,843,903,17162,788,725,322298
2032-06,1012,1033,887,15290,19216,16112,354117,760,745,965,13615,1400,1185,426337
2032-07,1057,1037,1308,15924,20902,19840,428331,1094,1143,1189,15795,993,1023,509636
2032-08,1246,1275,1030,17506,21147,21573,457955,933,1272,1042,18072,1067,1090,545208
2032-09,704,951,817,8651,12538,11142,272143,708,858,980,13616,814,756,324678
2032-10,876,916,1037,19903,13810,12948,306120,985,1028,1047,19601,845,1135,380251
2032-11,1019,1119,1095,15738,19100,14425,350426,822,1136,1132,16336,772,1012,424132
2032-12,329,433,562,11191,10933,9457,196073,491,324,478,9422,494,670,240857
